user_location_city,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,user_location_country,user_location_region
0,1724,63,133,833,user_city,0,0.03654292343387471,4.078034571308114e-05,3.1055674610314334e-05,-0.034933517391563605,60.22538398305566,66,174
1,999,46,56,508,user_city,1,0.04604604604604605,1.717067187919206e-05,1.7995718640199547e-05,-0.025430394779392268,25.404964384612875,66,260
3,9873,564,364,5581,user_city,3,0.05712549377089031,0.00011160936721474838,0.00017784957971440452,-0.014350947054548008,141.68690026955247,182,199
4,31,2,3,11,user_city,4,0.06451612903225806,9.198574220995745e-07,5.584257035497357e-07,-0.006960311793180254,0.2157696655885879,5,1
5,38,0,2,31,user_city,5,0.0,6.132382813997164e-07,6.845218301577405e-07,-0.07147644082543832,2.716104751366656,68,480
6,1,1,1,1,user_city,6,1.0,3.066191406998582e-07,1.801373237257212e-08,0.9285235591745616,-0.9285235591745616,69,612
7,26,1,2,9,user_city,7,0.038461538461538464,6.132382813997164e-07,4.6835704168687506e-07,-0.03301490236389985,0.8583874614613962,1,188
8,222,14,34,115,user_city,8,0.06306306306306306,1.0425050783795178e-05,3.9990485867110105e-06,-0.00841337776237526,1.8677698632473076,66,331
9,44,2,8,20,user_city,9,0.045454545454545456,2.4529531255988656e-06,7.926042243931732e-07,-0.02602189537089286,1.144963396319286,66,311
11,19,0,2,11,user_city,11,0.0,6.132382813997164e-07,3.4226091507887023e-07,-0.07147644082543832,1.358052375683328,66,318
12,8,0,1,0,user_city,12,0.0,3.066191406998582e-07,1.4410985898057695e-07,-0.07147644082543832,0.5718115266035065,46,398
13,28,4,8,15,user_city,13,0.14285714285714285,2.4529531255988656e-06,5.043845064320193e-07,0.07138070203170453,-1.9986596568877268,66,184
14,1919,148,76,1178,user_city,14,0.0771235018238666,2.330305469318922e-05,3.45683524229659e-05,0.00564706099842828,-10.836710055983868,182,416
15,180,4,27,85,user_city,15,0.022222222222222223,8.278716798896171e-06,3.2424718270629814e-06,-0.04925421860321609,8.865759348578896,69,877
16,2,1,1,2,user_city,16,0.5,3.066191406998582e-07,3.602746474514424e-08,0.4285235591745617,-0.8570471183491234,55,326
18,54,2,7,13,user_city,18,0.037037037037037035,2.1463339848990074e-06,9.727415481188944e-07,-0.03443940378840128,1.8597278045736692,66,448
19,129,3,5,93,user_city,19,0.023255813953488372,1.533095703499291e-06,2.3237714760618033e-06,-0.048220626871949945,6.220460866481543,66,184
20,3,0,1,1,user_city,20,0.0,3.066191406998582e-07,5.404119711771635e-08,-0.07147644082543832,0.21442932247631497,133,17
21,583,13,51,299,user_city,21,0.022298456260720412,1.563757617569277e-05,1.0502005973209544e-05,-0.049177984564717905,28.67076500123054,1,158
22,260,5,14,86,user_city,22,0.019230769230769232,4.292667969798015e-06,4.683570416868751e-06,-0.052245671594669085,13.583874614613961,215,788
23,24,4,5,13,user_city,23,0.16666666666666666,1.533095703499291e-06,4.323295769417308e-07,0.09519022584122834,-2.2845654201894803,46,398
24,1,1,1,1,user_city,24,1.0,3.066191406998582e-07,1.801373237257212e-08,0.9285235591745616,-0.9285235591745616,32,971
25,745,43,76,366,user_city,25,0.05771812080536913,2.330305469318922e-05,1.3420230617566227e-05,-0.013758320020069187,10.249948414951545,66,348
26,29,2,1,20,user_city,26,0.06896551724137931,3.066191406998582e-07,5.223982388045914e-07,-0.0025109235840590077,0.07281678393771122,46,414
27,61,3,14,38,user_city,27,0.04918032786885246,4.292667969798015e-06,1.0988376747268992e-06,-0.02229611295658586,1.3600628903517373,46,408
28,4,0,1,4,user_city,28,0.0,3.066191406998582e-07,7.205492949028848e-08,-0.07147644082543832,0.28590576330175327,1,193
29,11,0,1,10,user_city,29,0.0,3.066191406998582e-07,1.981510560982933e-07,-0.07147644082543832,0.7862408490798215,133,14
30,159,10,33,90,user_city,30,0.06289308176100629,1.0118431643095321e-05,2.864183447238967e-06,-0.008583359064432028,1.3647540912446925,66,226
31,2,0,1,0,user_city,31,0.0,3.066191406998582e-07,3.602746474514424e-08,-0.07147644082543832,0.14295288165087663,69,827
32,5863,293,262,3217,user_city,32,0.04997441582807437,8.033421486336284e-05,0.00010561451290039033,-0.02150202499736395,126.06637255954483,23,67
33,127,6,11,72,user_city,33,0.047244094488188976,3.37281054769844e-06,2.287744011316659e-06,-0.02423234633724934,3.0775079848306666,66,318
34,33,5,5,24,user_city,34,0.15151515151515152,1.533095703499291e-06,5.944531682948799e-07,0.0800387106897132,-2.641277452760536,46,414
35,6,0,1,2,user_city,35,0.0,3.066191406998582e-07,1.080823942354327e-07,-0.07147644082543832,0.42885864495262993,66,318
36,2,0,1,2,user_city,36,0.0,3.066191406998582e-07,3.602746474514424e-08,-0.07147644082543832,0.14295288165087663,209,187
37,8,3,1,7,user_city,37,0.375,3.066191406998582e-07,1.4410985898057695e-07,0.3035235591745617,-2.4281884733964936,66,471
38,83,7,14,70,user_city,38,0.08433734939759036,4.292667969798015e-06,1.4951397869234857e-06,0.012860908572152038,-1.0674554114886192,69,895
39,19,1,1,9,user_city,39,0.05263157894736842,3.066191406998582e-07,3.4226091507887023e-07,-0.0188448618780699,0.3580523756833281,3,53
40,5798,251,333,3162,user_city,40,0.043290789927561225,0.00010210417385305277,0.00010444362029617314,-0.02818565089787709,163.4204039058914,66,348
41,156,7,7,102,user_city,41,0.04487179487179487,2.1463339848990074e-06,2.8101422501212504e-06,-0.026604645953643445,4.150324768768377,66,260
43,17,1,1,13,user_city,43,0.058823529411764705,3.066191406998582e-07,3.06233450333726e-07,-0.012652911413673612,0.2150994940324514,3,68
45,429,50,20,313,user_city,45,0.11655011655011654,6.132382813997164e-06,7.727891187833439e-06,0.04507367572467823,-19.336606885886958,66,333
46,1,0,1,0,user_city,46,0.0,3.066191406998582e-07,1.801373237257212e-08,-0.07147644082543832,0.07147644082543832,32,984
47,234,7,39,119,user_city,47,0.029914529914529916,1.1958146487294469e-05,4.2152133751818756e-06,-0.0415619109109084,9.725487153152566,69,900
48,10,0,1,8,user_city,48,0.0,3.066191406998582e-07,1.8013732372572118e-07,-0.07147644082543832,0.7147644082543831,218,34
49,2,0,1,0,user_city,49,0.0,3.066191406998582e-07,3.602746474514424e-08,-0.07147644082543832,0.14295288165087663,133,23
50,7857,470,738,4564,user_city,50,0.05981926944126257,0.00022628492583649535,0.00014153389525129912,-0.011657171384175748,91.59039556546885,66,340
52,59,3,7,30,user_city,52,0.05084745762711865,2.1463339848990074e-06,1.062810209981755e-06,-0.02062898319831967,1.2171100087008606,215,788
53,5080,333,214,2919,user_city,53,0.0655511811023622,6.561649610976966e-05,9.150976045266637e-05,-0.005925259723076115,30.100319393226663,215,909
55,114,14,7,72,user_city,55,0.12280701754385964,2.1463339848990074e-06,2.0535654904732213e-06,0.051330576718421325,-5.851685745900031,46,172
56,6,0,1,5,user_city,56,0.0,3.066191406998582e-07,1.080823942354327e-07,-0.07147644082543832,0.42885864495262993,55,174
57,53,3,6,13,user_city,57,0.05660377358490566,1.839714844199149e-06,9.547278157463224e-07,-0.014872667240532655,0.7882513637482307,66,184
58,5,0,1,0,user_city,58,0.0,3.066191406998582e-07,9.006866186286059e-08,-0.07147644082543832,0.35738220412719157,63,423
59,90,6,6,33,user_city,59,0.06666666666666667,1.839714844199149e-06,1.6212359135314907e-06,-0.004809774158771651,0.4328796742894486,3,70
60,5,0,1,0,user_city,60,0.0,3.066191406998582e-07,9.006866186286059e-08,-0.07147644082543832,0.35738220412719157,182,416
62,74,6,2,66,user_city,62,0.08108108108108109,6.132382813997164e-07,1.3330161955703367e-06,0.009604640255642768,-0.7107433789175649,3,62
63,25,0,3,6,user_city,63,0.0,9.198574220995745e-07,4.5034330931430294e-07,-0.07147644082543832,1.786911020635958,63,431
64,9,0,2,1,user_city,64,0.0,6.132382813997164e-07,1.6212359135314905e-07,-0.07147644082543832,0.6432879674289449,1,321
65,114,2,10,75,user_city,65,0.017543859649122806,3.066191406998582e-06,2.0535654904732213e-06,-0.05393258117631551,6.148314254099969,77,462
66,3,1,1,3,user_city,66,0.3333333333333333,3.066191406998582e-07,5.404119711771635e-08,0.261856892507895,-0.785570677523685,62,135
67,6,0,2,3,user_city,67,0.0,6.132382813997164e-07,1.080823942354327e-07,-0.07147644082543832,0.42885864495262993,182,403
68,7,2,3,5,user_city,68,0.2857142857142857,9.198574220995745e-07,1.2609612660800483e-07,0.2142378448888474,-1.4996649142219318,66,331
69,2297,92,146,1044,user_city,69,0.04005224205485416,4.4766394542179294e-05,4.137754325979816e-05,-0.03142419877058416,72.18138457603182,66,311
70,2912,158,164,1830,user_city,70,0.05425824175824176,5.0285539074776744e-05,5.245598866893001e-05,-0.017218199067196557,50.139395683676376,231,58
71,5,1,1,5,user_city,71,0.2,3.066191406998582e-07,9.006866186286059e-08,0.1285235591745617,-0.6426177958728085,55,143
72,1,0,1,1,user_city,72,0.0,3.066191406998582e-07,1.801373237257212e-08,-0.07147644082543832,0.07147644082543832,190,125
73,7,0,1,5,user_city,73,0.0,3.066191406998582e-07,1.2609612660800483e-07,-0.07147644082543832,0.5003350857780682,54,45
74,60,0,4,5,user_city,74,0.0,1.2264765627994328e-06,1.0808239423543271e-06,-0.07147644082543832,4.288586449526299,1,229
75,129,9,12,77,user_city,75,0.06976744186046512,3.679429688398298e-06,2.3237714760618033e-06,-0.0017089989649732018,0.22046086648154303,182,199
76,171305,11426,13515,101894,user_city,76,0.0666997460669566,0.004143957686558584,0.003085842424083467,-0.00477669475848172,818.271695601711,66,442
77,30,0,1,16,user_city,77,0.0,3.066191406998582e-07,5.404119711771636e-07,-0.07147644082543832,2.1442932247631497,133,13
78,981,83,154,589,user_city,78,0.08460754332313965,4.721934766777816e-05,1.7671471457493248e-05,0.01313110249770133,-12.881611550245005,190,125
79,10,1,2,9,user_city,79,0.1,6.132382813997164e-07,1.8013732372572118e-07,0.02852355917456169,-0.28523559174561686,69,640
80,2881,147,241,1587,user_city,80,0.05102395001735509,7.389521290866582e-05,5.1897562965380274e-05,-0.02045249080808323,58.92362601808778,66,226
81,120,7,17,41,user_city,81,0.058333333333333334,5.212525391897589e-06,2.1616478847086543e-06,-0.013143107492104983,1.577172899052598,69,620
82,50,3,2,29,user_city,82,0.06,6.132382813997164e-07,9.006866186286059e-07,-0.01147644082543832,0.5738220412719159,95,43
83,5,0,1,5,user_city,83,0.0,3.066191406998582e-07,9.006866186286059e-08,-0.07147644082543832,0.35738220412719157,66,363
84,17,2,3,10,user_city,84,0.11764705882352941,9.198574220995745e-07,3.06233450333726e-07,0.04617061799809109,-0.7849005059675486,66,363
85,25,3,3,20,user_city,85,0.12,9.198574220995745e-07,4.5034330931430294e-07,0.04852355917456168,-1.213088979364042,195,548
86,1,0,1,1,user_city,86,0.0,3.066191406998582e-07,1.801373237257212e-08,-0.07147644082543832,0.07147644082543832,77,947
87,35,1,3,4,user_city,87,0.02857142857142857,9.198574220995745e-07,6.304806330400241e-07,-0.04290501225400975,1.5016754288903413,66,331
88,7,1,2,2,user_city,88,0.14285714285714285,6.132382813997164e-07,1.2609612660800483e-07,0.07138070203170453,-0.4996649142219317,133,28
89,3,0,1,3,user_city,89,0.0,3.066191406998582e-07,5.404119711771635e-08,-0.07147644082543832,0.21442932247631497,47,22
90,78,1,6,44,user_city,90,0.01282051282051282,1.839714844199149e-06,1.4050711250606252e-06,-0.0586559280049255,4.575162384384189,66,226
91,4,1,1,4,user_city,91,0.25,3.066191406998582e-07,7.205492949028848e-08,0.1785235591745617,-0.7140942366982468,66,363
92,87,6,20,56,user_city,92,0.06896551724137931,6.132382813997164e-06,1.5671947164137742e-06,-0.0025109235840590077,0.21845035181313366,66,348
93,81,8,9,48,user_city,93,0.09876543209876543,2.7595722662987237e-06,1.4591123221783417e-06,0.02728899127332711,-2.210408293139496,0,282
94,5295,318,219,2886,user_city,94,0.06005665722379604,6.714959181326894e-05,9.538271291276936e-05,-0.01141978360164228,60.467754170695876,66,260
95,6,0,2,5,user_city,95,0.0,6.132382813997164e-07,1.080823942354327e-07,-0.07147644082543832,0.42885864495262993,1,397
97,475,23,24,205,user_city,97,0.04842105263157895,7.358859376796596e-06,8.556522876971756e-06,-0.02305538819385937,10.9513093920832,66,356
99,407,20,18,271,user_city,99,0.04914004914004914,5.5191445325974475e-06,7.331589075636852e-06,-0.02233639168538918,9.090911415953396,3,57
100,2,1,1,2,user_city,100,0.5,3.066191406998582e-07,3.602746474514424e-08,0.4285235591745617,-0.8570471183491234,66,462
101,31,2,2,15,user_city,101,0.06451612903225806,6.132382813997164e-07,5.584257035497357e-07,-0.006960311793180254,0.2157696655885879,133,23
102,23,0,4,11,user_city,102,0.0,1.2264765627994328e-06,4.1431584456915874e-07,-0.07147644082543832,1.6439581389850813,133,28
