hotel_cluster,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,hotel_country,hotel_market
0,619827,19461,146160,306871,hotel_cluster,0,0.03139747058453407,0.009881426265163638,0.011165397695294258,-0.020827103788465168,12909.201259893,50,368
1,751239,39216,114948,379379,hotel_cluster,1,0.05220176268803936,0.007771279326272783,0.013532618293838705,-2.2811684959878065e-05,17.13702739757384,50,628
2,657705,45651,172641,380159,hotel_cluster,2,0.06940953771067576,0.011671724903148028,0.011847721850102544,0.017184963337676523,-11302.636312006538,50,191
3,316470,12617,120987,191934,hotel_cluster,3,0.039867917970107754,0.008179557468140074,0.005700805883947898,-0.012356656402891485,3910.511051823068,70,1926
4,499543,36031,166821,306103,hotel_cluster,4,0.07212792492337997,0.011278252675019591,0.008998633910591794,0.019903350550380727,-9942.57944398884,50,365
5,876520,43361,250750,534437,hotel_cluster,5,0.04946949299502578,0.016952433196427082,0.015789396699206912,-0.0027550813779734576,2414.883929421295,151,1197
6,555187,44987,181343,334931,hotel_cluster,6,0.08103035553786382,0.012260040251803297,0.010000990034731197,0.028805781164864583,-15992.595227577673,151,69
7,356993,35160,121992,222616,hotel_cluster,7,0.09848932612124048,0.00824750241474988,0.006430776360881638,0.04626475174824124,-16516.192520859884,50,871
8,483122,22717,111190,286163,hotel_cluster,8,0.047021249291069336,0.007517212550790538,0.008702830411301788,-0.005203325081929902,2513.840820232138,204,27
9,735976,46003,199473,424447,hotel_cluster,9,0.06250611432981511,0.013485753567261812,0.013257674696636136,0.010281539956815869,-7566.966651257516,50,411
10,581384,32120,184897,343681,hotel_cluster,10,0.05524747843077897,0.012500315217227432,0.010472895781695468,0.0030229040577797323,-1757.468052728212,50,675
11,510225,28187,150135,307292,hotel_cluster,11,0.05524425498554559,0.010150163740560639,0.009191056599795609,0.0030196806125463507,-1540.7165405364617,105,29
12,370618,16151,78878,213749,hotel_cluster,12,0.043578563372529126,0.0053326980086451665,0.006676213464457933,-0.008646011000470112,3204.367304972232,106,753
13,484281,43726,158828,295643,hotel_cluster,13,0.09029055445082504,0.01073787062700746,0.008723708327121597,0.0380659800778258,-18434.630898069558,50,552
14,261418,15296,103759,165931,hotel_cluster,14,0.0585116556625787,0.00701482558735026,0.004709113889373058,0.0062870812895794645,-1643.5562165592844,105,12
15,479210,39917,146592,280314,hotel_cluster,15,0.08329751048600822,0.009910632451169049,0.008632360690260285,0.031072936113008987,-14890.461714715037,105,29
16,678487,57332,209121,419499,hotel_cluster,16,0.08449977670906002,0.014138025054715965,0.012222083236269339,0.03227520233606078,-21898.30520738687,50,406
17,499598,21193,169640,293202,hotel_cluster,17,0.04242010576503509,0.011468836560087299,0.008999624665872286,-0.009804468607964148,4898.292907601673,50,633
18,783766,56353,226989,476976,hotel_cluster,18,0.07190028656512275,0.015346025359217495,0.014118550966721358,0.01967571219212351,-15421.154241971875,50,191
19,425544,32576,133606,247870,hotel_cluster,19,0.07655142593950331,0.009032689091293468,0.0076656357287538295,0.024326851566504076,-10352.14572301641,50,365
20,413816,13432,148116,256303,hotel_cluster,20,0.032458870609159626,0.010013665385132578,0.007454370675488303,-0.019765703763839612,8179.364468737053,105,29
21,809798,52045,231300,479308,hotel_cluster,21,0.06426911402596697,0.015637478757063148,0.014587484447844155,0.012044539652967728,-9753.64412189396,50,1457
22,440817,22754,109800,252151,hotel_cluster,22,0.051617791509855564,0.0074232389430416495,0.007940759463280123,-0.0006067828631436747,267.48020138240526,105,770
23,344913,16369,123409,217614,hotel_cluster,23,0.047458344568050495,0.008343301409124107,0.006213170473820967,-0.004766229804948743,1643.934620714286,50,675
24,275443,12469,56001,141097,hotel_cluster,24,0.045268894108762975,0.00378605468168739,0.004961756485898382,-0.006955680264236264,1915.8934390220293,50,628
25,789190,47022,210989,461734,hotel_cluster,25,0.05958261001786642,0.014264314766424542,0.01421625745111019,0.007358035644867179,-5806.8881505727295,50,191
26,643893,16801,141227,312686,hotel_cluster,26,0.02609284461859346,0.009547921368023161,0.01159891617857258,-0.026131729754405777,16826.0378667536,50,214
27,171103,2723,26688,82058,hotel_cluster,27,0.015914390747093856,0.001804293268778648,0.003082203650144207,-0.03631018362590538,6212.781348943288,152,73
28,732751,64780,214402,446950,hotel_cluster,28,0.088406566487115,0.01449505715724969,0.013199580409734592,0.036181992114115755,-26512.390903610434,50,191
29,604472,35397,149114,355151,hotel_cluster,29,0.05855854365462751,0.010081137083358038,0.010888796834713414,0.006333969281628271,-3828.7070796044045,151,69
30,681730,28365,193222,414845,hotel_cluster,30,0.04160738122130462,0.013063142760040015,0.012280501770353591,-0.01061719315169462,7238.059087304773,151,69
31,403527,12288,109481,204913,hotel_cluster,31,0.030451493952077555,0.00740167233809784,0.007269027383106909,-0.021773080420921683,8786.025823013264,50,627
32,410969,42352,130273,256403,hotel_cluster,32,0.10305400164002637,0.008807355253432285,0.007403085579423591,0.05082942726702713,-20889.318894502874,50,480
33,579340,38567,194931,353534,hotel_cluster,33,0.06657058031553147,0.013178682972732713,0.010436075712725932,0.014346005942532228,-8311.215082746621,50,365
34,493919,19663,131693,257931,hotel_cluster,34,0.03981017130339185,0.00890335706854266,0.008897324679728449,-0.012414403069607387,6131.709549737411,50,368
