site_name,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,posa_continent,user_location_country,is_mobile,is_package,channel,is_family,is_urgent,is_long_stay,day_of_week,time_of_day
2.0,34636299,1992309,768258,20436056,site_name,2,0.05752083962550387,0.6084392596640452,0.6239290205623873,0.010037922020992573,-347676.46845778305,,,,,,,,,,
3.0,2,0,1,2,site_name,3,0.0,7.919725660703114e-07,3.602746474514424e-08,-0.047482917604511295,0.09496583520902259,,,,,,,,,,
4.0,7,0,1,0,site_name,4,0.0,7.919725660703114e-07,1.2609612660800483e-07,-0.047482917604511295,0.33238042323157907,,,,,,,,,,
5.0,12,3,3,11,site_name,5,0.25,2.375917698210934e-06,2.161647884708654e-07,0.2025170823954887,-2.4302049887458645,,,,,,,,,,
6.0,20461,790,583,10698,site_name,6,0.03861003861003861,0.0004617200060189915,0.0003685789780751981,-0.008872878994472685,181.54797710590563,,,,,,,,,,
7.0,52799,2127,2126,25779,site_name,7,0.04028485387980833,0.001683733675465482,0.0009511070555394352,-0.007198063724702962,380.0505666005917,,,,,,,,,,
8.0,1339195,62330,31659,785802,site_name,8,0.0465428858381341,0.025073059469219987,0.02412390032468672,-0.0009400317663771918,1258.8858413735034,,,,,,,,,,
9.0,55470,3133,1145,34075,site_name,9,0.05648098071029385,0.0009068085881505064,0.0009992217347065753,0.008998063105782557,-499.12256047775844,,,,,,,,,,
10.0,144753,6860,3621,83126,site_name,10,0.04739107306929735,0.0028677326617405972,0.002607541802126932,-9.184453521394326e-05,13.294772005823928,,,,,,,,,,
11.0,3916444,214315,84945,2240842,site_name,11,0.05472183439875561,0.06727410962484259,0.07054977406816584,0.007238916794244314,-28350.81224531738,,,,,,,,,,
13.0,1029677,65346,32810,584298,site_name,13,0.06346261983126747,0.025984619892766913,0.018548325908192942,0.015979702226756175,-16453.931849739616,,,,,,,,,,
14.0,82373,3592,2634,41610,site_name,14,0.043606521554392826,0.0020860557390292,0.0014838451767258832,-0.003876396050118469,319.31037183640865,,,,,,,,,,
