hotel_market,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,hotel_country
0,1557,59,821,982,hotel_market,0,0.03789338471419396,0.0001225459648121427,2.804738130409479e-05,-0.046008515291395484,71.63525830870277,204
1,1674,261,378,1192,hotel_market,1,0.15591397849462366,5.6421893665030385e-05,3.0154987991685727e-05,0.07201207848903421,-120.54821939064327,11
2,479879,20067,44591,269578,hotel_market,2,0.041816791316144276,0.006655843016977169,0.008644411877217536,-0.04208510868944517,20195.75987278226,77
3,9295,851,1721,5837,hotel_market,3,0.09155459924690694,0.00025688380687173887,0.00016743764240305785,0.007652699241317493,-71.1318394480461,11
4,264820,14127,25511,148038,hotel_market,4,0.05334566875613624,0.0038078807653137304,0.004770396606904548,-0.030556231249453204,8091.901159480198,144
5,111488,5440,12392,62421,hotel_market,5,0.04879448909299656,0.001849682820891684,0.0020083149947533203,-0.03510741091259289,3914.055027823156,199
6,71725,1506,8451,31363,hotel_market,6,0.020996863018473335,0.0012614323369396078,0.0012920349544227351,-0.06290503698711611,4511.863777900903,77
7,44476,3202,5759,28255,hotel_market,7,0.07199388434211709,0.0008596129249124603,0.0008011787610025176,-0.011908015663472354,529.6209046485965,144
8,125546,6950,13682,72469,hotel_market,8,0.055358195402481956,0.002042233727843772,0.002261552044446939,-0.02854370460310749,3583.547938101733,7
9,5592,702,1456,3752,hotel_market,9,0.1255364806866953,0.00021732877559863556,0.00010073279142742328,0.04163458068110584,-232.8205751687439,11
10,102361,5847,12691,60003,hotel_market,10,0.05712136458221393,0.0018943128373092608,0.0018439036593888545,-0.026780535423375516,2741.2823864721413,70
11,44827,1415,5977,21766,hotel_market,11,0.03156579739888906,0.0008921525355446735,0.0008075015810652904,-0.05233610260670039,2346.070471550558,170
12,210444,9969,20370,129806,hotel_market,12,0.04737127216741746,0.003040513158615526,0.003790881895413567,-0.036530627838171986,7687.651444776266,105
13,122354,10329,14597,78334,hotel_market,13,0.0844189809895876,0.0021788105339376946,0.002204052210713689,0.0005170809839981499,-63.26692671610964,144
14,10310,938,1537,6368,hotel_market,14,0.09097963142580019,0.0002294191813839992,0.00018572158076121854,0.007077731420210745,-72.97141094237278,21
15,48952,3806,6576,29272,hotel_market,15,0.0777496322928583,0.0009815618326487825,0.0008818082271021503,-0.006152267712731141,301.1658090736148,144
16,37403,3079,5015,22716,hotel_market,16,0.08231960003208298,0.0007485603088098607,0.0006737676319313149,-0.0015822999735064652,59.18276590906232,79
17,1704,160,356,1064,hotel_market,17,0.09389671361502347,5.313807974801803e-05,3.069539996286289e-05,0.009994813609434022,-17.031162390475576,199
18,936,132,268,635,hotel_market,18,0.14102564102564102,4.000282407996863e-05,1.6860853500727502e-05,0.05712374102005158,-53.467821594768274,11
19,1184178,57356,91729,702843,hotel_market,19,0.04843528591140859,0.013691862126982994,0.021331465573487706,-0.03546661409418086,41998.7841448189,70
20,224580,13367,24207,131658,hotel_market,20,0.05951999287558999,0.003613240158596271,0.0040455240162322464,-0.024381907129999457,5475.688703255278,77
