party_type,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,is_family,is_mobile,is_package,is_urgent,is_long_stay
couple,28311298,1340465,1032787,16134362,party_type,couple,0.047347352283176845,0.4195258258604693,0.5099921452921362,-0.01039169761495614,294202.4479029125,,,,,
family,12104989,574929,503471,6733152,party_type,family,0.04749521044587484,0.2045136965045032,0.21805603221892939,-0.010243839452258145,124001.56388735087,,,,,
group,5186711,245720,365786,2960956,party_type,group,0.04737491639692283,0.14858501679261807,0.0934320238478759,-0.010364133501210154,53755.76523619522,,,,,
solo,9910206,879419,559752,6351707,party_type,solo,0.08873872046655741,0.22737546084240937,0.17851979864105844,0.030999670568424426,-307213.12126522313,,,,,
,43408215,2465604,1130577,25447025,is_family,False,0.056800400569339236,0.6918872640216199,0.7819439677810706,0.004652595061732198,-201960.84674760952,False,,,,
,12104989,574929,503471,6733152,is_family,True,0.04749521044587484,0.30811273597838007,0.21805603221892939,-0.004652595061732198,56319.612043722576,True,,,,
,47959414,2740136,1113804,28093145,is_mobile,0,0.05713447624693663,0.7511770398821106,0.8639280485413885,0.008683378498035257,-416449.7443059711,,0.0,,,
,7553790,300397,368941,4087032,is_mobile,1,0.03976771925086612,0.24882296011788946,0.13607195145861153,-0.00868337849803525,65592.41766467369,,1.0,,,
,39380731,2631078,1096280,24931213,is_package,0,0.0668113042391214,0.5965406216041647,0.7093939488702543,0.020715254311363535,-815781.8576323976,,,0.0,,
,16132473,409455,741449,7248964,is_package,1,0.025380795616394336,0.4034593783958353,0.29060605112974564,-0.020715254311363535,334188.2808662058,,,1.0,,
,43929198,1976855,1126744,24818374,is_urgent,False,0.04500093536877227,0.6210689995210013,0.7913288161137303,-0.023411024419468088,1028427.5271056487,,,,False,
,11584006,1063678,687457,7361803,is_urgent,True,0.09182298420770846,0.37893100047899875,0.20867118388626965,0.0234110244194681,-271193.447341265,,,,True,
,48646971,2899483,1167893,28725064,is_long_stay,False,0.05960253928245605,0.730070469507076,0.876313516330277,0.019529989887103742,-950074.851668229,,,,,False
,6866233,141050,431806,3455113,is_long_stay,True,0.020542559508248556,0.269929530492924,0.12368648366972297,-0.01952998988710375,134097.46105249802,,,,,True
