day_of_week,time_of_day,interactions,bookings,unique_users,booking_rate,segment_name,segment_value
Friday,Ночь,641798,35094,99184,0.05468075625040901,time_pattern,Friday Ночь
Friday,Утро,2124219,139391,297720,0.06561988194249274,time_pattern,Friday Утро
Friday,День,2490730,157644,319959,0.06329228780317417,time_pattern,Friday День
Friday,Вечер,1870728,91987,237014,0.04917176628563853,time_pattern,Friday Вечер
Monday,Ночь,658737,33813,97193,0.05133004522290383,time_pattern,Monday Ночь
Monday,Утро,2405285,150948,320220,0.06275680428722584,time_pattern,Monday Утро
Monday,День,3132308,181212,374832,0.057852548344543384,time_pattern,Monday День
Monday,Вечер,2732683,130879,314224,0.04789395623275733,time_pattern,Monday Вечер
Saturday,Ночь,608271,29559,89208,0.048595116321508015,time_pattern,Saturday Ночь
Saturday,Утро,1731549,95168,239691,0.054961193705751324,time_pattern,Saturday Утро
Saturday,День,2116842,108706,269870,0.05135291155409804,time_pattern,Saturday День
Saturday,Вечер,1816666,81214,222666,0.044704970533934144,time_pattern,Saturday Вечер
Sunday,Ночь,619120,28541,86853,0.04609930223543093,time_pattern,Sunday Ночь
Sunday,Утро,1782018,91523,238956,0.051359189413350485,time_pattern,Sunday Утро
Sunday,День,2634179,128515,313288,0.04878749697723655,time_pattern,Sunday День
Sunday,Вечер,2454095,115183,282441,0.046935020852900966,time_pattern,Sunday Вечер
Thursday,Ночь,667011,35980,102265,0.05394213888526576,time_pattern,Thursday Ночь
Thursday,Утро,2197752,139445,300218,0.06344892417342812,time_pattern,Thursday Утро
Thursday,День,2709703,161366,339297,0.05955117590377986,time_pattern,Thursday День
Thursday,Вечер,2325812,114564,283924,0.04925763561285263,time_pattern,Thursday Вечер
Tuesday,Ночь,689694,36086,103703,0.052321754285233744,time_pattern,Tuesday Ночь
Tuesday,Утро,2442893,151181,323998,0.06188605067843741,time_pattern,Tuesday Утро
Tuesday,День,3087989,177132,372427,0.05736160329586666,time_pattern,Tuesday День
Tuesday,Вечер,2702624,130900,316921,0.04843441041003114,time_pattern,Tuesday Вечер
Wednesday,Ночь,699047,37598,106271,0.05378465253409284,time_pattern,Wednesday Ночь
Wednesday,Утро,2554971,153359,340501,0.06002377326396268,time_pattern,Wednesday Утро
Wednesday,День,3015487,174691,369766,0.057931272792752876,time_pattern,Wednesday День
Wednesday,Вечер,2600993,128854,307465,0.049540310181534514,time_pattern,Wednesday Вечер
